"SizeGB","SizeMB","FullName"
"5.42","5549.9","D:\OneDrive\Dev\Win11_24H2_English_x64.iso"
"0.677","693.6","D:\OneDrive\Dev\docker\Docker\resources\docker-desktop.iso"
"0.673","689.3","D:\OneDrive\Dev\docker\Docker\resources\wsl\docker-wsl-cli.iso"
"0.396","405.3","D:\OneDrive\Dev\clonezilla-live-3.1.2-9-amd64.zip"
"0.374","383","D:\OneDrive\Dev\GaymerPC\apps\EnhancedCatalog\GaymerPC-EnhancedCatalog\enhanced_metrics.json"
"0.374","383","D:\OneDrive\Dev\apps\EnhancedCatalog\GaymerPC-EnhancedCatalog\enhanced_metrics.json"
"0.274","280.1","D:\OneDrive\Dev\Installers\OCCT.exe"
"0.254","259.6","D:\OneDrive\Dev\MediaPortalSetup_x64_1.38.003_2025-09-12-12-43.exe"
"0.231","236.7","D:\OneDrive\Dev\.codeium\windsurf\ws-browser\chromium-1169\chrome-win\chrome.dll"
"0.231","236.7","D:\OneDrive\Dev\GaymerPC\.codeium\windsurf\ws-browser\chromium-1169\chrome-win\chrome.dll"
"0.226","231.5","D:\OneDrive\Dev\dotnetfx35.exe"
"0.219","224.5","D:\OneDrive\Dev\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe.msixbundle"
"0.192","196.2","D:\OneDrive\Dev\docker\Docker\frontend\Docker Desktop.exe"
"0.165","169.2","D:\OneDrive\Dev\NVIDIA_app_v11.0.5.245.exe"
"0.164","167.6","D:\OneDrive\Dev\GaymerPC\.codeium\windsurf\ws-browser\chromium_headless_shell-1169\chrome-win\headless_shell.exe"
"0.164","167.6","D:\OneDrive\Dev\.codeium\windsurf\ws-browser\chromium_headless_shell-1169\chrome-win\headless_shell.exe"
"0.124","126.5","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvdxdlkernels.dll"
"0.123","126.4","D:\OneDrive\Dev\docker\Docker\resources\com.docker.backend.exe"
"0.12","123.3","D:\OneDrive\Dev\docker\cli-plugins\docker-scout.exe"
"0.12","123.3","D:\OneDrive\Dev\docker\Docker\resources\cli-plugins\docker-scout.exe"
"0.12","122.6","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\libnvdxdlkernels.so"
"0.107","109.6","D:\OneDrive\Dev\Installers\VSCodeUserSetup-x64-1.103.2.exe"
"0.094","96","D:\OneDrive\Dev\docker\Docker\resources\wsl\ext4.vhdx"
"0.093","95.7","D:\OneDrive\Dev\Visual-C-Runtimes-All-in-One-Jul-2025 (1).zip"
"0.093","95","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvoptix.bin"
"0.085","87.2","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvoptix.dll"
"0.083","84.5","D:\OneDrive\Dev\Windows-KB890830-x64-V5.135.exe"
"0.083","84.5","D:\OneDrive\Dev\Installers\Windows-KB890830-x64-V5.135.exe"
"0.081","83.1","D:\OneDrive\Dev\docker\Docker\resources\com.docker.build.exe"
"0.073","74.8","D:\OneDrive\Dev\docker\Docker\resources\cli-plugins\docker-compose.exe"
"0.073","74.8","D:\OneDrive\Dev\docker\cli-plugins\docker-compose.exe"
"0.073","74.8","D:\OneDrive\Dev\docker\Docker\resources\bin\docker-compose.exe"
"0.072","74.1","D:\OneDrive\Dev\Winhance.Installer.exe"
"0.069","70.9","D:\OneDrive\Dev\docker\Docker\resources\dockerd.exe"
"0.068","69.2","D:\OneDrive\Dev\drivers\ExportedDrivers\hdxrt4.inf_amd64_c7efd94b4c5f41e8\RCoRes64.dat"
"0.067","68.8","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\libnvwgf2umx.so"
"0.067","68.5","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvlddmkm.sys"
"0.066","67.8","D:\OneDrive\Dev\.git\objects\fb\fe5589ecb4be1d055eac55e23741b54ccb046b"
"0.066","67.8","D:\OneDrive\Dev\DotFolders\.git\objects\fb\fe5589ecb4be1d055eac55e23741b54ccb046b"
"0.066","67.5","D:\OneDrive\Dev\docker\cli-plugins\docker-buildx.exe"
"0.066","67.5","D:\OneDrive\Dev\docker\Docker\resources\cli-plugins\docker-buildx.exe"
"0.065","66.8","D:\OneDrive\Dev\NDP452-KB2901907-x86-x64-AllOS-ENU.exe"
"0.064","65.5","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvwgf2umx.dll"
"0.064","65.2","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvvm64.dll"
"0.063","64.6","D:\OneDrive\Dev\Installers\BT-23.160.0-64UWD-Win10-Win11.exe"
"0.059","60.8","D:\OneDrive\Dev\windowsappruntimeinstall-x64.exe"
"0.059","60.4","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvrtum64.dll"
"0.058","59.3","D:\OneDrive\Dev\docker\Docker\resources\bin\kubectl.exe"
"0.057","57.9","D:\OneDrive\Dev\windowsdesktop-runtime-9.0.10-win-x64.exe"
"0.056","57.7","D:\OneDrive\Dev\drivers\ExportedDrivers\nvmd.inf_amd64_aa54f7a758543a0a\nvvm32.dll"
